Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7",0805,2,10u,C440198
"C2, C4, C8",0805,3,100n,C49678
"C3, C5",0805,2,47u,C16780
C6,0805,1,1u,C28323
D1,D_SMA,1,SS34,C8678
D2,D_SOD-323,1,RB751V-40,C7502691
J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,BAT.,C18077833
J6,PinHeader_1x03_P2.54mm_Vertical,1,PPS,C5383112
J7,PinHeader_1x03_P2.54mm_Vertical,1,UART,C5383112
J8,PJ-002A-SMT,1,7-12V DC,C431534
JP1,PinHeader_1x02_P2.54mm_Vertical,1,Charge,C5383111
JP2,PinHeader_1x02_P2.54mm_Vertical,1,TERM.,C5383111
JP3,PinHeader_1x02_P2.54mm_Vertical,1,CAN Tx,C5383111
JP4,PinHeader_1x02_P2.54mm_Vertical,1,CAN Rx,C5383111
JP5,PinHeader_1x02_P2.54mm_Vertical,1,SCL,C27985187
JP6,PinHeader_1x02_P2.54mm_Vertical,1,SDA,C27985187
Q1,SOT-23,1,AO3401A,C15127
R1,0805,1,100,C17408
"R10, R9",0805,2,2k2,C17520
R2,0805,1,100k,C149504
"R3, R6",0805,2,22k,C17560
R4,0805,1,330,C17630
R5,0805,1,220,C17557
R7,0805,1,10k,C17414
R8,0805,1,120,C17437
SW1,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,TAMPER,C455118
U1,SOT-223-3_TabPin2,1,AMS1117-5.0,C6187
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,C12084
