Designator,Mid X,Mid Y,Rotation,Layer
C1,34.036,18.542,0.0,top
C2,35.56,12.954,90.0,top
C3,37.592,12.954,90.0,top
C4,44.45,37.592,0.0,top
C5,44.45,35.56,0.0,top
C6,44.069,20.193,0.0,top
C7,25.2495,26.483001,180.0,top
C8,25.2495,28.604,180.0,top
D1,20.32,21.59,180.0,top
D2,50.546,12.7,270.0,top
J5,64.77,5.605,0.0,top
J6,61.595,38.735,90.0,top
J7,73.66,38.735,270.0,top
J8,8.255,15.9885,0.0,top
JP1,57.15,5.075,180.0,top
JP2,16.2325,34.07,0.0,top
JP3,30.8375,31.877,270.0,top
JP4,30.8375,34.417,270.0,top
JP5,90.546,40.005,90.0,top
JP6,90.546,42.545,90.0,top
Q1,33.9575,23.495,0.0,top
R1,34.036,20.574,180.0,top
R10,85.09,42.545,0.0,top
R2,34.0868,16.51,180.0,top
R3,86.36,10.287,270.0,top
R4,84.328,10.287,90.0,top
R5,52.705,12.7,90.0,top
R6,21.5665,28.642001,180.0,top
R7,17.7565,28.642001,180.0,top
R8,17.1215,39.145,180.0,top
R9,85.09,40.005,0.0,top
SW1,80.3402,5.08,0.0,top
U1,29.21,11.43,0.0,top
U2,44.45,7.62,90.0,top
U3,22.8365,33.43,90.0,top
