Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,20pF,C1798
"C3, C6",0805,2,10u,C15850
"C4, C5, C7",0805,3,100n,C49678
D1,0805,1,Power,C2296
J1,DG250-3.5-03P-11-00AH,1,CAN,-----
JP1,PinHeader_1x03_P2.54mm_Vertical,1,PWR,C5383112
JP2,PinHeader_1x02_P2.54mm_Vertical,1,TERM.,C5383111
R1,0805,1,2k2,C17520
"R2, R3, R4",0805,3,100k,C149504
R5,0805,1,10k,C17414
R6,0805,1,120,C17437
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,MCP2515-xST,C185941
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,COS1042T/3,C5334502
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
