Designator,Mid X,Mid Y,Rotation,Layer
C1,18.034,14.960601,0.0,top
C2,18.034,21.5646,180.0,top
C3,10.625999,11.176,270.0,top
C4,8.636,11.175999,270.0,top
C5,11.049,28.448,270.0,top
C6,11.811,25.4,0.0,top
C7,11.811,23.368,0.0,top
D1,14.493,3.429,180.0,top
J1,18.477,35.647,180.0,top
JP1,12.714999,6.4008,90.0,top
JP2,8.758,39.497,90.0,top
R1,10.9135,3.429,0.0,top
R2,4.699,11.176,90.0,top
R3,12.6985,11.175999,90.0,top
R4,6.604,11.176,90.0,top
R5,3.048,28.194,90.0,top
R6,8.382,36.322,180.0,top
U1,11.557,16.637,90.0,top
U2,6.858,26.289,0.0,top
Y1,18.034,18.2626,270.0,top
