Designator,Footprint,Quantity,Value,LCSC Part #
C1,2220,1,1u/630V,C784102
"C2, C3",1210,2,47u,C5440143
C4,0805,1,10u,C15850
"C5, C9",0805,2,100n,C49678
"C6, C7, C8",0805,3,33n,C1739
"D1, D2",D_SOD-123FL,2,SM4007PL,C64898
D3,D_SOD-123,1,8V2,C22399882
D4,0805,1,PF,C2296
D5,0805,1,TX,C84256
D6,0805,1,Power,C2297
J1,2EDGR-5.08-04P,1,2EDGR-5.08-04P,C5187975
JP1,PinHeader_1x03_P2.54mm_Vertical,1,PWR,C5383112
"R1, R2",1206,2,1M,C17927
"R10, R11, R8",0805,3,1k,C17513
R12,0603,1,1k,C21190
"R13, R15",0603,2,5k1,C23186
R14,0603,1,1k2,C22765
R16,0805,1,4k3,C17667
R3,2512,1,100,C5126189
"R4, R5, R6, R7",0805,4,470k,C17709
R9,2512,1,2mR,C316197
U1,SOT-89-3,1,HT7550-1,C16106
U2,SOP-8_3.9x4.9mm_P1.27mm,1,HLW8032,C128023
"U3, U4",SOP-4_4.4x2.6mm_P1.27mm,2,LTV-217-B-G,C115450
