Designator,Mid X,Mid Y,Rotation,Layer
C1,17.13,41.148,0.0,top
C2,19.162,28.702,90.0,top
C3,15.86,28.702,90.0,top
C4,12.939,25.4,90.0,top
C5,10.907,25.4,90.0,top
C6,11.542,28.829,0.0,top
C7,6.97,35.941,180.0,top
C8,3.414,35.941,180.0,top
C9,7.097,29.972,270.0,top
D1,23.734,33.655,90.0,top
D2,21.321,33.655,270.0,top
D3,21.956,28.702,90.0,top
D4,10.399,17.145,180.0,top
D5,10.399,14.478,180.0,top
D6,12.733501,3.175,180.0,top
J1,12.734999,47.0225,180.0,top
JP1,12.684999,6.35,90.0,top
R1,15.225,35.56,90.0,top
R10,6.97,38.227,0.0,top
R11,3.414,38.227,180.0,top
R12,10.272,19.05,180.0,top
R13,17.13,10.16,90.0,top
R14,10.272,12.573,180.0,top
R15,19.416,10.922,180.0,top
R16,9.304501,3.175,0.0,top
R2,18.146,35.56,270.0,top
R3,22.972,40.259,90.0,top
R4,11.796,42.418,90.0,top
R5,11.796,38.989,90.0,top
R6,11.796,35.56,90.0,top
R7,11.542,32.893,0.0,top
R8,11.542,30.861,0.0,top
R9,5.192,41.783,180.0,top
U1,17.303,23.7115,180.0,top
U2,3.16,29.718,180.0,top
U3,16.749,16.51,270.0,top
U4,16.749,13.335,270.0,top
