Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,4u7,C1779
C2,0805,1,2u2,C377773
C3,0805,1,10u,C440198
"C4, C5",0805,2,100n,C49678
C6,0805,1,220p,C107145
C7,0805,1,1n,C46653
D1,0805,1,Power,C2296
"D2, D4, D7",D_SOD-123,3,1N5819W,C8598
D3,D_SOD-123,1,3V3,C19077392
"D5, D6",D_SOD-123FL,2,SMF26CA,C19077516
J1,DG250-3.5-03P-11-00AH,1,LIN,-----
JP1,PinHeader_1x03_P2.54mm_Vertical,1,PWR,C5383112
JP2,PinHeader_1x03_P2.54mm_Vertical,1,EN SEL,C5383112
JP3,PinHeader_1x03_P2.54mm_Vertical,1,Mode,C5383112
M1,BxxyyS-1W,1,B0512S-1W,C3031179
Q1,SOT-23,1,MMBT2222A,C8512
"R1, R2",0805,2,2k2,C17520
"R3, R4, R6",0805,3,10k,C17414
R5,0805,1,47k,C17713
R7,0805,1,75k,C17819
R8,0805,1,1k,C17513
U1,SO-8_3.9x4.9mm_P1.27mm,1,SIT1021QT/1,C7433978
