Designator,Mid X,Mid Y,Rotation,Layer
C1,21.27,31.496,0.0,top
C2,14.544001,21.971,180.0,top
C3,10.414,27.94,0.0,top
C4,10.414,25.908,0.0,top
C5,5.588,15.748,0.0,top
C6,22.733,36.195,0.0,top
C7,18.415,36.195,0.0,top
D1,12.6765,3.175,180.0,top
D2,15.494,31.496,0.0,top
D3,5.08,20.701,90.0,top
D4,2.54,27.178,180.0,top
D5,2.667,24.765,0.0,top
D6,22.098,33.909,0.0,top
D7,15.494,33.909,180.0,top
J1,5.644,35.647,180.0,top
JP1,12.699999,6.35,90.0,top
JP2,10.668,12.573001,0.0,top
JP3,19.049999,40.259,90.0,top
M1,19.05,28.702,180.0,top
Q1,14.732,19.05,0.0,top
R1,8.8665,3.175,0.0,top
R2,19.431,13.843,180.0,top
R3,19.431,11.811,180.0,top
R4,19.812,19.05,270.0,top
R5,17.78,19.05,90.0,top
R6,5.588,11.684,0.0,top
R7,5.588,13.716,180.0,top
R8,14.859,36.195,0.0,top
U1,9.779,20.701,90.0,top
