Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0603,2,10u,C19702
"C2, C4, C6",0603,3,100n,C14663
C5,0603,1,22u,C59461
D1,0603,1,Power,C89811
D2,0603,1,Busy,C2286
J1,PinHeader_1x04_P2.54mm_Vertical,1,GPIO,C5383113
J2,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,1,ANT,C496550
JP1,PinHeader_1x03_P2.54mm_Vertical,1,PWR,C5383112
M1,RA-01x,1,RA-01S(H),C724871
Q1,SOT-23,1,MMBT2222A,C8512
R1,0603,1,2k2,C4190
"R2, R3",0603,2,10k,C25804
R4,0603,1,1k8,C4177
R5,0603,1,0R,C21189
U1,SSOP-16_3.9x4.9mm_P0.635mm,1,CA-IS3763HB,C5457088
