Designator,Mid X,Mid Y,Rotation,Layer
C1,12.0578,16.885198,180.0,top
C2,12.0578,18.431199,180.0,top
C3,12.8198,21.479199,270.0,top
C4,11.269799,21.479199,270.0,top
C5,1.929999,39.624,90.0,top
C6,3.556,39.624,90.0,top
D1,12.827,3.287001,180.0,top
D2,20.32,25.146,180.0,top
J1,2.667,32.258,180.0,top
J2,6.096,55.118,90.0,top
JP1,12.826999,6.335001,90.0,top
M1,13.701,35.433,0.0,top
Q1,7.239,22.479,270.0,top
R1,9.652,3.302,0.0,top
R2,4.572,22.352,90.0,top
R3,5.461,25.4,0.0,top
R4,23.622,30.2768,270.0,top
R5,6.096,48.768,90.0,top
U1,16.6933,19.5072,0.0,top
