Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10u,C19702
C2,0603,1,22p,C1653
C3,0603,1,100n,C14663
C4,0805,1,10u,C440198
D1,D_SOD-123,1,1N5819W,C8598
D10,0805,1,Power,C84256
D11,0805,1,RxB,C2297
D12,0805,1,RxT,C2296
"D2, D3, D4, D5",D_SOD-123,4,1N4148W,C7420318
D6,D_SOD-123,1,4V7,C19077400
D7,D_SOD-123,1,13V,C22399883
D8,D_SOD-123,1,4V3,C19077399
D9,D_SOD-123,1,8V2,C22399882
JP1,PinHeader_1x03_P2.54mm_Vertical,1,PWR,C5383112
L1,Inductor_4.2x4.4mm,1,10uH,C177242
"Q1, Q2, Q3, Q4",SOT-23,4,MMBT2907A,C7420352
"Q5, Q6",SOT-23,2,MMBT2222A,C8512
R1,0603,1,240k,C4197
"R10, R11",0603,2,20,C22950
"R12, R7",0603,2,10k,C25804
R13,0603,1,150k,C22807
R14,0603,1,1k,C21190
R15,0603,1,4k7,C23162
"R16, R17",0603,2,1k8,C4177
R18,0603,1,1k5,C22843
R2,0603,1,13k,C22797
R3,0603,1,330,C23138
R4,0603,1,220,C22962
"R5, R8",0603,2,100,C22775
R6,0603,1,560,C23204
R9,0603,1,33k,C4216
U1,SOT-23-5,1,MT3540-F23,C181783
"U2, U3",SOP-4_4.4x2.6mm_P1.27mm,2,LTV-217-B-G,C115450
