Designator,Mid X,Mid Y,Rotation,Layer
C1,17.130002,12.941,270.0,top
C2,7.859001,9.385,0.0,top
C3,8.621001,13.335,270.0,top
C4,6.589001,13.576,270.0,top
D1,7.986001,17.005,0.0,top
D10,12.74125,3.175,180.0,top
D11,22.987,26.924,180.0,top
D12,22.987,24.638,180.0,top
D2,16.114,42.037,0.0,top
D3,16.114,39.497,0.0,top
D4,21.194,39.497,0.0,top
D5,21.194,42.036999,0.0,top
D6,21.194,36.957,0.0,top
D7,21.193,34.417,0.0,top
D8,21.192999,31.877,0.0,top
D9,8.494,40.132,180.0,top
JP1,12.685,6.35,90.0,top
L1,13.828001,17.005,180.0,top
Q1,14.6685,36.388,0.0,top
Q2,4.872,36.8785,270.0,top
Q3,8.555,36.8785,270.0,top
Q4,6.65,30.704,90.0,top
Q5,6.65,26.67,270.0,top
Q6,2.967,28.354,90.0,top
R1,7.859002,10.909,0.0,top
R10,9.571,32.9415,90.0,top
R11,9.571,29.7665,90.0,top
R12,4.43,41.275,0.0,top
R13,4.43,39.751,180.0,top
R14,2.398,25.4,180.0,top
R15,10.145,25.7302,180.0,top
R16,9.383,3.175,180.0,top
R17,17.653,22.1488,180.0,top
R18,21.209,22.733,180.0,top
R2,10.526001,11.7348,90.0,top
R3,17.7142,36.2458,90.0,top
R4,13.828,33.7058,0.0,top
R5,16.876,33.7058,0.0,top
R6,20.32,29.21,180.0,top
R7,13.589,23.241,180.0,top
R8,4.872,33.7035,180.0,top
R9,2.144,37.338,90.0,top
U1,13.828001,12.559999,180.0,top
U2,16.876,28.448,0.0,top
U3,13.574,28.448,180.0,top
