Designator,Mid X,Mid Y,Rotation,Layer
C1,6.942214,17.118536,270.0,top
D1,20.912214,36.753286,270.0,top
D2,23.452214,36.753286,90.0,top
D3,22.182214,32.816286,0.0,top
D4,14.562214,3.098286,180.0,top
J1,16.467214,38.761,180.0,top
JP1,11.392214,28.498286,270.0,top
JP2,11.392214,31.038286,270.0,top
JP3,11.392214,25.958286,270.0,top
JP4,10.117214,7.543286,90.0,top
JP5,19.642214,24.129486,0.0,top
R1,9.482214,11.376786,0.0,top
R2,13.292214,11.376786,0.0,top
R3,4.402214,28.498286,0.0,top
R4,4.402214,31.038286,180.0,top
R5,9.839714,22.529286,0.0,top
R6,10.752214,3.098286,0.0,top
U1,11.387214,17.118536,90.0,top
