Designator,Mid X,Mid Y,Rotation,Layer
C1,14.478,29.21,180.0,top
C2,18.4658,27.178,0.0,top
C3,22.733,24.003,0.0,top
C4,17.653,52.197,180.0,top
D1,14.605,3.556,180.0,top
J1,17.415,42.3365,180.0,top
JP1,12.826999,6.477,90.0,top
R1,11.049,3.556,0.0,top
R10,12.319,50.165,180.0,top
R11,8.763,50.165,180.0,top
R2,10.922,29.21,180.0,top
R3,7.366,29.21,0.0,top
R4,18.4658,31.115,180.0,top
R5,22.733,27.8638,180.0,top
R6,18.4658,29.21,0.0,top
R7,22.733,25.9334,0.0,top
R8,21.209,50.165,180.0,top
R9,17.653,50.165,180.0,top
SW1,12.827,18.415,0.0,top
